P1,P2
1,11
1,21
1,81
1,93
1,99
5,39
5,47
5,56
5,63
5,64
5,72
5,76
5,80
5,83
5,85
5,86
5,89
5,92
5,94
5,95
9,0
9,4
9,6
9,7
9,8
9,19
9,20
9,22
9,24
9,25
9,26
9,30
9,31
9,32
9,33
9,36
9,39
9,42
9,46
9,47
9,50
9,53
9,56
9,60
9,63
9,64
9,74
9,76
9,83
9,98
18,0
18,4
18,6
18,7
18,8
18,10
18,11
18,12
18,14
18,15
18,16
18,17
18,21
18,23
18,28
18,34
18,36
18,37
18,38
18,40
18,41
18,43
18,45
18,48
18,49
18,51
18,52
18,53
18,54
18,55
18,58
18,61
18,62
18,65
18,66
18,68
18,69
18,70
18,71
18,78
18,81
18,84
18,91
18,93
18,96
18,97
18,99
62,38
62,41
62,45
77,2
79,0
79,4
79,6
79,7
79,8
79,11
79,13
79,27
79,29
79,35
79,36
79,44
79,53
79,57
79,59
79,67
79,72
79,73
79,75
79,82
79,87
82,78
90,0
90,2
90,3
90,4
90,6
90,7
90,8
90,36
90,53
90,77
90,85
90,88
97,55
97,84
